"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"200",0.715,0.831,2,-6.161,1,0.0728,0.221,3.99e-06,0.132,0.805,100.006,"audio_features","3SWju8HQ6II7QXkWtFSDE1","spotify:track:3SWju8HQ6II7QXkWtFSDE1","https://api.spotify.com/v1/tracks/3SWju8HQ6II7QXkWtFSDE1","https://api.spotify.com/v1/audio-analysis/3SWju8HQ6II7QXkWtFSDE1",223642,4,"KR"
"201",0.939,0.519,0,-5.911,1,0.12,0.0715,0,0.0658,0.826,135.054,"audio_features","4q9JLlC3HIhN4CDC6KlpYK","spotify:track:4q9JLlC3HIhN4CDC6KlpYK","https://api.spotify.com/v1/tracks/4q9JLlC3HIhN4CDC6KlpYK","https://api.spotify.com/v1/audio-analysis/4q9JLlC3HIhN4CDC6KlpYK",259983,4,"KR"
"202",0.65,0.749,5,-3.707,0,0.041,0.186,0,0.0723,0.929,150.026,"audio_features","4NKQTbmiBtm1MwqBbQQhpM","spotify:track:4NKQTbmiBtm1MwqBbQQhpM","https://api.spotify.com/v1/tracks/4NKQTbmiBtm1MwqBbQQhpM","https://api.spotify.com/v1/audio-analysis/4NKQTbmiBtm1MwqBbQQhpM",212334,4,"KR"
"203",0.599,0.798,2,-6.429,0,0.137,0.174,0,0.156,0.591,133.544,"audio_features","1hqukerMJf9N1qHo2sijii","spotify:track:1hqukerMJf9N1qHo2sijii","https://api.spotify.com/v1/tracks/1hqukerMJf9N1qHo2sijii","https://api.spotify.com/v1/audio-analysis/1hqukerMJf9N1qHo2sijii",191492,4,"KR"
"204",0.65,0.827,8,-4.014,1,0.0599,0.0229,0,0.121,0.223,144.995,"audio_features","1Y7AZ3akqDipAyo6mmOQTy","spotify:track:1Y7AZ3akqDipAyo6mmOQTy","https://api.spotify.com/v1/tracks/1Y7AZ3akqDipAyo6mmOQTy","https://api.spotify.com/v1/audio-analysis/1Y7AZ3akqDipAyo6mmOQTy",225668,4,"KR"
"205",0.76,0.682,1,-6.441,1,0.0371,0.0616,0,0.118,0.372,120.008,"audio_features","4wDSEE082RPcnhXzPzFhCp","spotify:track:4wDSEE082RPcnhXzPzFhCp","https://api.spotify.com/v1/tracks/4wDSEE082RPcnhXzPzFhCp","https://api.spotify.com/v1/audio-analysis/4wDSEE082RPcnhXzPzFhCp",197001,4,"KR"
"206",0.689,0.729,7,-5.801,1,0.225,0.273,0,0.059,0.773,97.057,"audio_features","057xGYST5exVyNevufrioZ","spotify:track:057xGYST5exVyNevufrioZ","https://api.spotify.com/v1/tracks/057xGYST5exVyNevufrioZ","https://api.spotify.com/v1/audio-analysis/057xGYST5exVyNevufrioZ",163016,4,"KR"
"207",0.658,0.776,6,-7.088,0,0.0493,0.012,2.1e-06,0.272,0.336,114.044,"audio_features","38iufYNK4hUzS649Oe2kZy","spotify:track:38iufYNK4hUzS649Oe2kZy","https://api.spotify.com/v1/tracks/38iufYNK4hUzS649Oe2kZy","https://api.spotify.com/v1/audio-analysis/38iufYNK4hUzS649Oe2kZy",192107,4,"KR"
"208",0.627,0.662,7,-8.121,1,0.203,0.00236,0,0.157,0.207,90.008,"audio_features","6x2arhzc99oGlqM82V0mnd","spotify:track:6x2arhzc99oGlqM82V0mnd","https://api.spotify.com/v1/tracks/6x2arhzc99oGlqM82V0mnd","https://api.spotify.com/v1/audio-analysis/6x2arhzc99oGlqM82V0mnd",196529,4,"KR"
"209",0.739,0.725,1,-5.741,1,0.084,0.149,0,0.0793,0.136,118.994,"audio_features","5LtrXmU6LXHHbpb7puYNvA","spotify:track:5LtrXmU6LXHHbpb7puYNvA","https://api.spotify.com/v1/tracks/5LtrXmU6LXHHbpb7puYNvA","https://api.spotify.com/v1/audio-analysis/5LtrXmU6LXHHbpb7puYNvA",182172,4,"KR"
