"","href","id","name","type","uri","external_urls.spotify","followers.href","genre","Metric","Value"
"32","https://api.spotify.com/v1/artists/4zEoVSkyaIZWC5DSRUvvbb","4zEoVSkyaIZWC5DSRUvvbb","Carryminati","artist","spotify:artist:4zEoVSkyaIZWC5DSRUvvbb","https://open.spotify.com/artist/4zEoVSkyaIZWC5DSRUvvbb",NA,"Indian-rap","Followers (in Thousands)",53.991
"33","https://api.spotify.com/v1/artists/3kjFmLBLtiN9u0vU8FiCLD","3kjFmLBLtiN9u0vU8FiCLD","Vasudev","artist","spotify:artist:3kjFmLBLtiN9u0vU8FiCLD","https://open.spotify.com/artist/3kjFmLBLtiN9u0vU8FiCLD",NA,"Indian-rap","Popularity",32
"34","https://api.spotify.com/v1/artists/3kjFmLBLtiN9u0vU8FiCLD","3kjFmLBLtiN9u0vU8FiCLD","Vasudev","artist","spotify:artist:3kjFmLBLtiN9u0vU8FiCLD","https://open.spotify.com/artist/3kjFmLBLtiN9u0vU8FiCLD",NA,"Indian-rap","Followers (in Thousands)",7.519
"35","https://api.spotify.com/v1/artists/6CXOME0iQ8CJ3u3sNQC4gJ","6CXOME0iQ8CJ3u3sNQC4gJ","Badkidz","artist","spotify:artist:6CXOME0iQ8CJ3u3sNQC4gJ","https://open.spotify.com/artist/6CXOME0iQ8CJ3u3sNQC4gJ",NA,"Indian-rap","Popularity",31
"36","https://api.spotify.com/v1/artists/6CXOME0iQ8CJ3u3sNQC4gJ","6CXOME0iQ8CJ3u3sNQC4gJ","Badkidz","artist","spotify:artist:6CXOME0iQ8CJ3u3sNQC4gJ","https://open.spotify.com/artist/6CXOME0iQ8CJ3u3sNQC4gJ",NA,"Indian-rap","Followers (in Thousands)",2.731
"37","https://api.spotify.com/v1/artists/2oCgLqAxE4EC7REqV49NuP","2oCgLqAxE4EC7REqV49NuP","SangeetKir","artist","spotify:artist:2oCgLqAxE4EC7REqV49NuP","https://open.spotify.com/artist/2oCgLqAxE4EC7REqV49NuP",NA,"Indian-rap","Popularity",30
"38","https://api.spotify.com/v1/artists/2oCgLqAxE4EC7REqV49NuP","2oCgLqAxE4EC7REqV49NuP","SangeetKir","artist","spotify:artist:2oCgLqAxE4EC7REqV49NuP","https://open.spotify.com/artist/2oCgLqAxE4EC7REqV49NuP",NA,"Indian-rap","Followers (in Thousands)",2.865
"39","https://api.spotify.com/v1/artists/7dN5ohonhO0BeWIYrUxhXf","7dN5ohonhO0BeWIYrUxhXf","Huzur","artist","spotify:artist:7dN5ohonhO0BeWIYrUxhXf","https://open.spotify.com/artist/7dN5ohonhO0BeWIYrUxhXf",NA,"Indian-rap","Popularity",29
"40","https://api.spotify.com/v1/artists/7dN5ohonhO0BeWIYrUxhXf","7dN5ohonhO0BeWIYrUxhXf","Huzur","artist","spotify:artist:7dN5ohonhO0BeWIYrUxhXf","https://open.spotify.com/artist/7dN5ohonhO0BeWIYrUxhXf",NA,"Indian-rap","Followers (in Thousands)",0.62
"41","https://api.spotify.com/v1/artists/1OVeQPd27s1MkICbzBfZTV","1OVeQPd27s1MkICbzBfZTV","Dhanji","artist","spotify:artist:1OVeQPd27s1MkICbzBfZTV","https://open.spotify.com/artist/1OVeQPd27s1MkICbzBfZTV",NA,"Indian-rap","Popularity",30
"42","https://api.spotify.com/v1/artists/1OVeQPd27s1MkICbzBfZTV","1OVeQPd27s1MkICbzBfZTV","Dhanji","artist","spotify:artist:1OVeQPd27s1MkICbzBfZTV","https://open.spotify.com/artist/1OVeQPd27s1MkICbzBfZTV",NA,"Indian-rap","Followers (in Thousands)",4.568
"43","https://api.spotify.com/v1/artists/5HrGNVmY12srDtUFxDd49Z","5HrGNVmY12srDtUFxDd49Z","The Siege","artist","spotify:artist:5HrGNVmY12srDtUFxDd49Z","https://open.spotify.com/artist/5HrGNVmY12srDtUFxDd49Z",NA,"Indian-rap","Popularity",30
"44","https://api.spotify.com/v1/artists/5HrGNVmY12srDtUFxDd49Z","5HrGNVmY12srDtUFxDd49Z","The Siege","artist","spotify:artist:5HrGNVmY12srDtUFxDd49Z","https://open.spotify.com/artist/5HrGNVmY12srDtUFxDd49Z",NA,"Indian-rap","Followers (in Thousands)",8.17
"45","https://api.spotify.com/v1/artists/23zDE5FHzOIZuI2u2QKGbt","23zDE5FHzOIZuI2u2QKGbt","Enkore","artist","spotify:artist:23zDE5FHzOIZuI2u2QKGbt","https://open.spotify.com/artist/23zDE5FHzOIZuI2u2QKGbt",NA,"Indian-rap","Popularity",29
"46","https://api.spotify.com/v1/artists/23zDE5FHzOIZuI2u2QKGbt","23zDE5FHzOIZuI2u2QKGbt","Enkore","artist","spotify:artist:23zDE5FHzOIZuI2u2QKGbt","https://open.spotify.com/artist/23zDE5FHzOIZuI2u2QKGbt",NA,"Indian-rap","Followers (in Thousands)",4.933
"47","https://api.spotify.com/v1/artists/5Nt1n4t51CBXkH195ZXQqn","5Nt1n4t51CBXkH195ZXQqn","Sammad","artist","spotify:artist:5Nt1n4t51CBXkH195ZXQqn","https://open.spotify.com/artist/5Nt1n4t51CBXkH195ZXQqn",NA,"Indian-rap","Popularity",26
